Date,ATC Coin,Aidos Kuneen,Ark,BitBay,BitConnect,BitShares,Bitcoin,Bitcoin Cash,BitcoinDark,Bitdeal,BlackCoin,Blocknet,Burst,Byteball Bytes,Bytecoin,Clams,CloakCoin,Compcoin,Counterparty,Crown,DECENT,Dash,Decred,Diamond,DigiByte,DigitalNote,Dogecoin,E-coin,Einsteinium,Elastic,Emercoin,Energycoin,Ethereum,Ethereum Classic,Expanse,Factom,FairCoin,FirstCoin,GXShares,Gambit,GameCredits,Golos,GridCoin,Groestlcoin,Gulden,Hshare,I-O Coin,ION,IOTA,Komodo,LBRY Credits,LEOcoin,Lisk,Litecoin,Lykke,Metaverse ETP,MonaCoin,Monero,MonetaryUnit,Mooncoin,NAV Coin,NEM,NEO,Namecoin,Neblio,Nexus,NoLimitCoin,Nxt,OKCash,Omni,PIVX,Particl,Peercoin,PotCoin,Radium,ReddCoin,Ripple,Rise,Rubycoin,SIBCoin,SaluS,Shift,Siacoin,Skycoin,SpreadCoin,Sprouts,Steem,Stellar Lumens,Stratis,Syscoin,The ChampCoin,Ubiq,Unobtanium,Verge,Vertcoin,Viacoin,Waves,ZCoin,Zcash,ZenCash
2013-05-08,,,,,,,109.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,,,,,,,,,,0.935985,,,,,,,,,0.236736,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-09,,,,,,,113.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,0.92824,,,,,,,,,0.290924,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-10,,,,,,,112.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,,,,,,,,,,0.940744,,,,,,,,,0.279742,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-11,,,,,,,117.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,,,,,,,,,,0.987503,,,,,,,,,0.277772,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-12,,,,,,,115.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,,,,,,,,,,0.832608,,,,,,,,,0.257877,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-13,,,,,,,114.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,,,,,,,,,,0.843927,,,,,,,,,0.24227,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-14,,,,,,,117.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,,,,,,,,,,0.887207,,,,,,,,,0.246578,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-15,,,,,,,111.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.82,,,,,,,,,,0.809878,,,,,,,,,0.218344,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-16,,,,,,,114.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,,,,,,,,,0.783549,,,,,,,,,0.225013,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-17,,,,,,,118.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,,,,,,,,,,0.795553,,,,,,,,,0.21396,,,,,,,,,,,,,,,,,,,,,,,,,,,
